Weather_Condition,num_accidents
Fair,2560802
Mostly Cloudy,1016195
Cloudy,817082
Clear,808743
Partly Cloudy,698972
Overcast,382866
Light Rain,352957
Scattered Clouds,204829
Light Snow,128680
Fog,99238
Rain,84331
Haze,76223
Fair / Windy,35671
Heavy Rain,32309
Light Drizzle,22684
Thunder in the Vicinity,17611
Cloudy / Windy,17035
T-Storm,16810
Mostly Cloudy / Windy,16508
Snow,15537
Thunder,14202
Light Rain with Thunder,13597
Smoke,12668
Wintry Mix,11703
Partly Cloudy / Windy,10241
Heavy T-Storm,9671
Light Rain / Windy,7946
Light Snow / Windy,6826
Heavy Snow,5003
Light Thunderstorms and Rain,4931
Drizzle,4726
Thunderstorm,4438
Patches of Fog,4144
Mist,3539
Light Freezing Rain,3465
N/A Precipitation,3252
Shallow Fog,3068
Heavy Thunderstorms and Rain,2485
Rain / Windy,2372
Thunderstorms and Rain,2217
Haze / Windy,1595
Heavy Rain / Windy,1523
Showers in the Vicinity,1514
Snow / Windy,1285
Light Freezing Drizzle,1240
Heavy T-Storm / Windy,1096
Light Freezing Fog,1001
Blowing Snow / Windy,925
Heavy Snow / Windy,902
T-Storm / Windy,813
Fog / Windy,743
Blowing Snow,740
Thunder / Windy,562
Heavy Drizzle,452
Drizzle and Fog,393
Snow and Sleet,350
Wintry Mix / Windy,331
Blowing Dust / Windy,266
Light Ice Pellets,262
Light Rain Shower,259
Light Sleet,256
Light Drizzle / Windy,239
Light Snow and Sleet,204
Freezing Rain,197
Blowing Dust,189
Widespread Dust,181
Light Rain Showers,157
Sleet,147
Rain Showers,123
Ice Pellets,101
Snow and Sleet / Windy,96
Smoke / Windy,95
Light Freezing Rain / Windy,81
Small Hail,75
Rain Shower,59
Sand / Dust Whirlwinds,51
Squalls / Windy,47
Light Snow and Sleet / Windy,45
Light Snow Shower,44
Partial Fog,40
Hail,39
Light Snow with Thunder,38
Squalls,35
Heavy Sleet,33
Freezing Drizzle,30
Thunder / Wintry Mix,29
Sleet / Windy,25
Widespread Dust / Windy,24
Light Snow Showers,24
Drizzle / Windy,23
Volcanic Ash,22
Funnel Cloud,22
Light Thunderstorms and Snow,22
Snow and Thunder,21
Sand,19
Tornado,19
Freezing Rain / Windy,18
Light Rain Shower / Windy,16
Mist / Windy,15
Light Sleet / Windy,15
Thunder and Hail,14
Heavy Freezing Rain,11
Light Haze,10
Thunder / Wintry Mix / Windy,10
Snow Grains,9
Heavy Snow with Thunder,8
Heavy Rain Showers,7
Patches of Fog / Windy,7
Heavy Thunderstorms with Small Hail,7
Shallow Fog / Windy,7
Sand / Dust Whirls Nearby,6
Light Snow Grains,6
Drifting Snow / Windy,6
Low Drifting Snow,5
Heavy Thunderstorms and Snow,5
Light Snow Shower / Windy,5
Heavy Freezing Drizzle,5
Light Fog,4
Heavy Ice Pellets,4
Sand / Dust Whirlwinds / Windy,4
Heavy Blowing Snow,4
Sleet and Thunder,4
Duststorm,3
Light Hail,3
Light Thunderstorm,3
Light Blowing Snow,3
Thunderstorms and Snow,3
Rain Shower / Windy,3
Heavy Rain Shower,3
Snow Showers,2
Blowing Sand,2
Snow and Thunder / Windy,2
Rain and Sleet,2
Heavy Sleet and Thunder,2
Thunder and Hail / Windy,2
Heavy Freezing Rain / Windy,1
Partial Fog / Windy,1
Heavy Smoke,1
Dust Whirls,1
Heavy Sleet / Windy,1
Sand / Windy,1
Heavy Rain Shower / Windy,1
Blowing Snow Nearby,1
Drifting Snow,1
